NOMMO	N AA M OW
EMERSONMANAGED	AH M AH R S AA N M AH N AH JH D
BLENDALL	B L EH N D AO L
DISAIENT	D AH S EY IY AH N T
SALUTARE	S AH L UW T AH R
MOTHEREARTH	M AH DH ER ER TH
PERCHT	P AH R CH T
RETCHING	R EH CH IH NG
USANY	Y UW S EY N IY
CHRISTAS	K R IH S T AH Z
GIBBETTHAT	JH IH B EH T TH AH T
CONCEPTGREEN	K AA N S EH P T G R IY N
SINIGANG	S IH N AH G AH NG
KNOWIS	N OW IY Z
ITON	IH T AH N
AGAPEAT	AH G AE P IY T
THINGSCURSEDWITH	TH IH NG Z K ER S T W IH TH
+A	
STILLTHEY	S T IH L TH IY
TOOLES	T UW L Z
NETTÈN	N EH T N
KOLLWITZ	K AA L W AH T S
HEARTTO	HH AH R T OW
LANIATO	L EY N IY AH T OW
LOCONMILLA	L AA K AH N M IH L AH
UNASSUMINGGRAY	AH N AH S UW M IH NG G R EY
EIE	IY
BICKERINGS	B IH K ER IH NG Z
MONEYBY	M AH N IY B AY
SHAREDWITHOUT	SH EH R D W IH TH AW T
PUFFINGS	P AH F IH NG Z
W/DARK	W D AA R K
DECLAREAN	D IH K L AE R IY AH N
GASTRIQUE	G AE S T R AH K
VERMILL	V AH R M AH L
UMBERS	AH M B ER Z
POMMES	P AA M Z
DALLAS/FORT	D AE L AH S F OW R T
FORECOURT	F OW R K OW R T
THEBAIS	TH EH B EY AH S
OVERLEAPS	OW V ER L IY P S
CALL'D	K AO L D
MORWNYNGE	M AO R W N AH N JH
MAGENTAS	M AH JH EH N T AH Z
AMORWE	AE M AH R W
FRAILEST	F R EY L AH S T
GRIEV'ST	G R IY V S T
INTERPHONE	IH N T ER F OW N
'AN	AE N
FINDINGONE	F IH N D IH N G AO N
HALFNAKED	HH AE F N EY K AH D
SEASONTREES	S IY Z AH N T R IY Z
ASPIR	AE S AH R
REPEYRETH	R AH P EY R AH TH
ANTING	AE N T IH NG
SETTHE	S EH T DH
SHOULDERSFROM	SH OW L D AH R S R AH M
SHARKFINS	SH AA R K F IH N Z
PROPITIOUSLY	P R AH P IH SH AH S L IY
RHENISH	R IY N AH SH
WERED	W ER D
SUNDERS	S AH N D ER Z
STEINS	S T AY N Z
SAKEWE	S AE K Y UW
BLEEZE	B L IY Z
OVERSHAKE	OW V ER SH EY K
STOPLESS	S T AA P L AH S
BOVARY	B OW V AH R IY
LAY'ST	L EY S T
MUDFLATS	M AH D F L AE T S
SNAKESKIN	S N EY K S K IH N
TRYUMPHES	T R AY AH M F S
AZAN	EY Z AH N
TRAILSIDES	T R EY L S AY D Z
FERTILISED	F ER T AH L IY Z D
BIST	B IY IH S T
DEEMING	D IY M IH NG
CALIFORNIAWHERE	K AE L AH F AH R N IY AH HH AH R
LETTHEIR	L EH T TH IY R
POETESSES	P OW AH T AH S IH Z
BITTERNS	B AY T AH R N Z
JABÈTALKEDY	JH AE B T AO K T IY
HAPPENI	HH AE P AH N IY
SANOE	S AE N OW
JUGHEAD	JH AH G HH EH D
DITION	D AY SH AH N
WILLIWAW	W IH L AH W AH
OCTAVO	AA K T AH V OW
TIMEUNLESS	T AY M AH N L EH S
DRIV	D R IH V
DISPERS'T	D IH S AH R S T
GALEHANDS	G EY L HH AE N D Z
RAZIS	R EY Z IY Z
HERSHEF	HH AH R SH AH F
PUTTEN	P AH T AH N
UNCHEAREFULL	AH N CH IY R AH F AH L
GYGES	JH AY JH AH Z
DORJE	D AO R JH
SLEEPE	S L IY P
WEBCAM	W EH B K AE M
QUIEREN	K W IY R AH N
TRANSCIENCE	T R AE N CH AH N S
USURP'T	Y UW S AH R P T
SKIRL	S K AH R L
FLANNELETTE	F L AE N AH L EH T
LEFTTO	L EH F T OW
TROPICALIS	T R AA P IH K AH L IY Z
THEMSELVESAS	TH EH M Z EH L V AH S AH Z
TROLLEYWAYS	T R AA L IY W EY Z
WANNSEE	W AA N S IY IY
COMINGTHROUGH	K AH M IH NG TH R AH F
HARPEST	HH AA R P AH S T
MINSTRELED	M IH N S T R AH L D
WAK	W AE K
EILDON	IY L D AH N
VIVANTS	V IH V AH N T S
FACTIONING	F AE K SH AH N IH NG
GRUYERER	G R UW W AY IY R AH R
ANNAGH	AE N AH
ROOKERIES	R UH K AH R AY Z
CREPITANT	K R EH P AH T AH N T
LIVEOAK	L IH V OW K
SLUCE	S L UW S
APTNESS	AE P T N AH S
PARALLELROWS	P AE R AH L EH L R OW Z
POYSON	P OY S AH N
OCLETS	AA K L AH T S
DECKHAIRS	D EH K HH EH R Z
FREDONIA	F R AH D OW N Y AH
ALWAYSSEIZED	AE L W EY S IY AY Z D
LAUGHEST	L AE F AH S T
HOOTINGS	HH UW T IH NG Z
DÉANAMH	D AE N AH M
EXPOSESA	IH K S AA S AH S AH
HOTCH	HH AA CH
CYMBALLED	S IH M B AH L D
THYNG	TH IH NG
EMBITTERMENTS	IH M B IH T ER M AH N T S
LIMS	L IH M Z
PERIENTIAL	P AH R IY N CH AH L
CONTEMPLAR	K AH N T EH M P AH L ER
RENEWD	R IH N Y UW D
CYATHIFORM	S AY AE TH AH F AH R M
MUSTRING	M AH S T R AH NG
SOOTHSAY	S UW TH S EY IY
GLOOMED	G L UW M D
WHITNEYS	W IH T N EY Z
FABL	F AE B L
AVAIS	AE V EY AH S
DOGKISSED	D AO G K IH S T
GLOWINGPLUMB	G L OW IH NG P L AH M
TAPESTRYLONG	T AE P AH S T R IY L AO NG
NAÄIL	N EY L
ASCRY	AH Z K R AY
__	
SOMEVERY	S AA M AH V EH R IY
YOUHOW	Y AW HH OW
LACKINVENTION	L AE K IH N V EH N CH AH N
TUMBLINGWEAPONHOOD	T AH M B AH L IH NG W EH P AH N HH UH D
UNBELIEVERS	AH N B AH L IY V ER Z
NAHSHON	N AE SH AH N
MAYBELLENE	M EY B AH L IY N
TIDEPOOLS	T AY D P UW L Z
FABULATION	F AE B Y AH L EY SH AH N
THEMSELVESWITH	TH EH M Z AH L V EH S W AH TH
NOWHERESVILLESFILLING	N OW HH AH R EH Z IH L EH S IH L AH NG
ORGASMICALLY	AO R G AE Z AH M IH K AH L IY
LOTIONED	L OW SH AH N D
LIBELL	L IH B AH L
FACESO	F AE S AH S OW
HEATHS	HH IY TH S
AANIMAD	AA N AH M AH D
TINEHE	T IH N AH HH
SORROWTALKED	S AA R OW T AO K T
UNBEWILDERED	AH N B IH W IH L D ER D
KNOWLEDG	N OW L AH JH
ELECTROCUTES	AH L EH K T R AH K Y UW T S
SHANTER	SH AE N T AH R
DARTLES	D AA R T AH L Z
CLOPPED	K L AA P T
CRYNKLED	K R IH NG K AH L D
TSI	T S IY
SOMUCH	S AA M AH CH
MACERATED	M AE S AH R EY T AH D
AWOKEIN	AH W OW K IH N
OUTFLARING	AW T F L EH R IH NG
COGITO	K OW JH IH T OW
GALICIAN	G AH L IH S IY AH N
DOATING	D OW EY T IH NG
RETURN'ST	R AH T AH R N S T
ITCHYSEA	IH CH IY S IY
REPENTANCES	R IH P EH N T AH N S IH Z
JENKYNS	JH EH NG K AH N Z
REMAINARE	R AH M EY N AH R
REFRACTIONS	R IY F R AE K SH AH N Z
WHATTA	W AA T AH
RIBBAND	R IH B AE N D
TUNNELTHROUGH	T AH N AH L TH R AH F
FVIT	F V IH T
SURVEILLANCES	S ER V EY L AH N S IH Z
NINTHWORLD	N AY N TH W ER L D
FLATFOOT	F L AE T F UH T
ACANDOR	AH K AE N D ER
SOMESAYA	S AH M EH S EY AH
RECLIND	R IH K L AY N D
UNPROVABLE	AH N P R UW V AH B AH L
CAMSTEERIE	K AE M S T IH ER IY
VANISHMENT	V AE N IH SH M AH N T
AUBADES	AH B EY D Z
ALCOHOLPOURED	AE L K AH HH AO L P OW R D
SUBTERRANEA	S AH B T EH R EY N IY AH
CONTENTING	K AH N T EH N T IH NG
BACK/	B AE K
'TOO	T UW
WHETS	W EH T S
DESCRIB	D IH S R IH B
BERGAMOT	B IH R G AE M AH T
RUSSLING	R AH S L AH NG
SUPERSCRIPTION	S UW P ER S K R IH P SH AH N
PELTOF	P EH L T AH F
DEWLAPS	D UW L AE P S
AGOSI	AE G AH S IY
MEEEEEE	M IY IY IY IY
CENTRIPETAL	S EH N T R IH P AH T AH L
UNHALLOWD	AH N HH AE L OW D
GLAUQUES	G L AO K S
ERROUR	EH R AH R
ROUTELLA	R AW T EH L AH
SOFT'ND	S AA F T N D
KOBÉ	K AA B
MINDUNFURL	M AY N D AH N F ER L
COCKHEADED	K AA K HH EH D IH D
LATCHAND	L AE CH AH N D
COGENTLY	K OW JH AH N T L IY
TOILETTE	T OY L EH T
FORSWORE	F AO R S W OW R
PRESUM	P R IY S AH M
SPINDLING	S P IH N D AH L IH NG
HAIRST	HH AE AH R S T
SCAFFOLDINGREACHING	S K AE F AH L D IH NG R IY CH IH NG
NOSEBLEEDS	N OW Z B L IY D Z
NEEDALL	N IY D AO L
CUTTINGTHROUGH	K AH T IH NG TH R AH F
BEATINGWITH	B IY T IH NG W IH TH
SIGMATISM	S IH M AH T IH Z AH M
DUALLY	D UW AH L IY
PLAUNT	P L AO N T
SOGDIANA	S AA G D IY AH N AH
BUNDLEPIECE	B AH N D AH L P IY S
SAT'ST	S AE T S T
SPADEINTO	S P EY D IY N T OW
CONSUELOS	K AA N S UW AH L AH Z
BOTTOMOF	B AA T AH M AH F
UNFAVOURING	AH N F EY V ER IH NG
INQUIETUDE	IH N K W AY AH T UW D
HERE…	HH IH ER
PROCRUSTES	P R OW K R AH S T S
QUESTIO	K W EH S T IY OW
DELIRIA	D AH L IH R IY AH
YETYOU	Y EH T AY UW
THRALE	TH R EY L
COMPAST	K AH M P AE S T
GLORIOUSNESS	G L OW R IY AH S N AH S
AROUNDING	AH R AW N D IH NG
HERI	HH EH R IY
UNCOMMUNICATING	AH N K AH M Y UW N AH K EY T IH NG
ERTAKING	AH R T EY K AH NG
BOUCHON	B AW CH AH N
GATHERINGTHE	G AE TH AH R AH N G
SYFY	S AY F IY
PLEASANCE	P L EH Z AH N S
WEEKNIGHTS	W IY N AY T S
SUPERNATURALS	S UW P ER N AE CH AH R AH L Z
SURFETT	S AH R F AH T
WORDLY	W ER D L IY
GHIBLI	G IH B L IY
HEAV'NLY	HH IY V N L IY
1386	W AH N TH R IY EY T S IH K S
CONTAINE	K AA N T EY N
TAURIS	T EY Y AH R AH S
WOHIN	W AA HH AH N
MEADOWES	M IY D OW Z
PENITENTS	P EH N AH T AH N T S
INNSHALL	IH N Z HH AO L
WEDDYNG	W EH D AH NG
PREESTES	P R IY EH S T S
ALIZARIN	AH L IH Z AH R AH N
BANNERWHILE	B AE N AH R W AH L
SILVERING	S IH L V ER IH NG
EXHALATIONSOF	IH K S AH L EY T IY AA N S AH F
'MIGHTY	M AY T IY
SHAFTER	SH AE F T ER
FORRESTS	F AO R AH S T S
UNSEVERABLE	AH N S AH V IH ER AH B AH L
CONTROLE	K AA N T R OW L
WHETSTONES	W EH T S T OW N Z
QUIÉN	K W IH N
CONSOMMÉ	K AA N S AA M
SUNCHOKE	S AH N CH OW K
BUTTIES	B AH T IY Z
HOLLOWNESS	HH AA L OW N AH S
DIPSOMANIAC	D IH P S AH M EY N IY AH K
CARRÉ	K AE R
DAUNTE	D AO N T
EYETOOTH	AY T UW TH
CRINOLINND	K R IH N AH L AH N D
KINDLING13	K EY AY EH N D IY EH L AY EH N JH IY W AH N TH R IY
OBJECTIN	AA B JH IH K T IH N
HANDTO	HH AE N D T OW
LANGUAGENOT	L AE N G W AA JH AH N AH T
COVERD	K OW V AH R D
SHRINKIN	SH R IH NG K IH N
MYSTER	M IH S T ER
SASHIMI	S AE SH AH M IY
WORMING	W ER M IH NG
ALAGA	AE L AH G AH
METEORITES	M IY T IY AH R AY T S
58,261	F AY V EY T UW S IH K S W AH N
NIGHTON	N AY T AH N
FOLIOS	F OW L IY AH Z
PERITONITIS	P AH R IH T AH N AY T AH S
JARGONING	JH AA R G AH N IH NG
CHAFÈD	CH AE F D
TISSUED	T IH SH UW D
GAYETY	G EY AH T IY
OP'NING	AA P N AH NG
CRAPPIES	K R AE P IY Z
MAROCCO	M AH R AA K OW
WAZ	W AA Z
ORGOD	AO R G AH D
PISCINE	P IH S AY N
SPIRTS	S P AH R T S
IRONYNEATLY	AY R AH N IY N IY T L IY
HULLABALOOOF	HH AH L AH B AE L UW AH F
SAYAS	S EY AH Z
GODBECAUSE	G AA D B IY K AO Z
STILLDOES	S T IH L D OW Z
SHOATSSKULKED	SH OW T S AH K T
THEWHOLE	TH UW HH OW L
OTROS	AA T R AH Z
VALENTYN	V AH L EH N T AH N
LEAGUERED	L IY G ER D
UPSEVERAL	AH P S EH V R AH L
DEALERSIN	D IY L ER S IH N
USSTUCK	AH S T AH K
BEENHUNGRY	B IH EH N HH AH N G R IY
CORNERWHERE	K AA R N AH R W HH AH R
NOTGNOSTIC	N AA T G N AH S T AH K
TODDLED	T AA D AH L D
PIQUÉ	P IH K W
ABRABANEL	AE B R AE B AH N AH L
ALISAUNDRE	AE L AH S AO N D AH R
154	W AH N F AY V F OW R
NIGHTINGALES	N AY T AH N G EY L Z
WHELKES	W EH K S
THOUSTEP	TH AW S T AH P
PRONK	P R AO NG K
ABLETO	AE B L AH T OW
CONDUCE	K AH N D UW S
MURMURSSOMETHING	M ER M ER Z S AH M TH IH NG
DRONE…	D R OW N
BRAVA	B R AE V AH
UNKINDLY	AH N K AY N D L IY
QUIETPEOPLE	K W AY AH T P IY P AH L
TIRANO	T IH R AH N OW
IDEALISED	AY D IY AH L IY Z D
QUEENSBORO	K W IY N S B AH R OW
BEACHAND	B AH AE CH AH N D
TRESPASSER	T R EH S P AH S ER
GYRDLE	JH AH R D AH L
MOUSTACHED	M AH S T AE SH T
MATTERING	M AE T ER IH NG
JOTHAM	JH AA T HH AE M
IMPERIUM	IH M P AH R IY AH M
SCOMPETITION	S K AA M P AH T IH SH AH N
INSERTINGPEBBLES	IH N S ER T IH NG P EH B AH L Z
SVIS	S V IH Z
APR	AE P R
Q1	K Y UW W AH N
HEPERFORM	HH AH P AH R F AH R M
FLACKES	F L AE K S
PEPTO	P EH P T OW
GRABTHE	G R AE B
CAMPANIAN	K AE M P EY N IY AH N
MOLDERING	M OW L D ER IH NG
VOCABULARIES	V OW K AE B Y AH L EH R IY Z
NEOLOGISM	N IY OW L AA G IH Z AH M
FLATBOTTOM	F L AE T B AA T AH M
COMBINATIONTO	K AA M B AH N EY T IY AA N T OW
REDSEED	R EH D S IY D
LIEDOWN	L AY D AW N
SONGSWE	S AA N G S W
BREATHINGS	B R IY DH IH NG Z
EMPTY/	EH M P T IY
CREPED	K R EY P T
BREITEN	B R IY T AH N
BLACKBRUSH	B L AE K B R AH SH
SWASHES	S W AA SH AH Z
SEXAGENARIAN	S EH K S AH JH AH N EH R IY AH N
ANGELHEADED	EY N JH AH L HH EH D IH D
CRYPTOMNESIA	K R IH P T AH M N IY ZH IY AH
CONTREE	K AH N T R IY
HOUROF	HH AH R AH F
SAYINGYOU	S EY IH N JH AY UW
DEPRAV'ST	D IH P R AE V S T
BODETH	B OW D IH TH
BUSI	B Y UW S IY
EIK	IY K
FOODWITH	F UW D W IH TH
TOHU	T AA HH UW
CLOCKTOWER	K L AA K T AW ER
OED	OW D
SAHARANS	S AE HH AH R AH N Z
TONGUESDOWN	T AH NG Z D AW N
TORMÁIL	T AO R M AH L
STAMEN	S T EY M AH N
MUSHROOMINGOVER	M AH SH R UH M IH NG OW V ER
PUDDINGY	P UH D IH NG IY
BALDASSAR	B AO L D AE S ER
MAUGRE	M AO G AH R
PHALANXES	F EY L AE NG K S IH Z
ABLUTION	AE B L Y UW T IY AH N
PPHLOOPH	F L UW F
TWINEUNTIL	T W IH N Y UW N T AH L
NYRO	N IH R OW
EYESWHERE	EY EH S W HH AH R
BLURSIMAGES	B L ER Z IH M IH JH IH Z
LAERNA	L IY R N AH
MOTHE	M OW DH
CONTRALTOS	K AH N T R AE L T OW Z
MATADORS	M EY T EY D ER Z
OVERCLOUD	OW V ER K L AW D
BREASTEDSUITS	B R EH S T IH D S UW T S
ITABANDONED	AH T AE B AH N D OW N D
ENTENDRES	IH N T EH N D AH R Z
ENVIES	EH N V IY Z
ICLOSE	IH K L OW Z
REIMAGINE	R IY IH M AE JH AH N
INRAIL	IH N R EY L
BIDD'ST	B IH D S T
IME	IH M
DOOBIE	D UW B AY
CUDWEED	K AH D W IY D
REQUIRETH	R IH K W AY ER IH TH
TULE	T Y UW L
EVENING/	IY V N IH NG
SPECIESGONE	S P IY SH IY Z G AO N
FEARNOUGHT	F AH R N AH T
FATT'NIN	F AE T N AH N
STARBRIGHT	S T AA R B R AY T
COTSWOLD	K AA T S W OW L D
LESIONED	L IY ZH AH N D
UNPLAY	AH N P L EY
LINEATES	L AY N AH T S
PEDALIN	P EH D AH L IH N
VITE	V AY T
OVERTOPS	OW V ER T AA P S
FLORETS	F L AO R AH T S
INTEN	IH N T EH N
BENUMBING	B IH N AH M IH NG
ZEPHALINDA	Z EH F AH L IH N D AH
DIDACTICS	D IH D AE K T IH K S
QUONECKTACUT	K W AH N EH K T AH K AH T
WOWNDED	W OW N D AH D
FONDANT	F AA N D AH N T
HELLISHLY	HH EH L IH SH L IY
STRAYT	S T R EY T
LITHO	L IH TH OW
POSTHASTE	P OW S T HH EY S T
THINAND	TH IH N AH N D
REVOLVES–	R IH V AA L V Z
THEWAXED	TH UW AH K S T
SKYNNE	S K IH N
WOUNDLIKE	W UW N D L AY K
PLASTICTHROAT	P L AE S T IH K TH R OW T
GRIESLIE	G R IY Z L AY
SUDDENLYMY	S AH D EH N L AH M IY
CURSID	K ER S AH D
LIVESLIKE	L IH V Z L AY K
UNDERSTANDAND	AH N D AH R S T AE N D AH N D
SURPRIZE	S ER P R AY Z
SWORDSMANSHIP	S OW R D Z M AE N SH IH P
VISIONING	V IH ZH AH N IH NG
SORCERYTHAT	S AO R S EH R AH TH AH T
REAR'D	R IH ER D
PAINHE	P EY N HH
REFTE	R IH F T IY
SKATEBOARDS	S K EY T B OW R D Z
VINH	V IH N
ECHON	EH CH AH N
INFLICTIONS	IH N F L IH K SH AH N Z
LASCIVIOUSLY	L AH S IH V IY AH S L IY
STRUGGLER	S T R AH G AH L ER
COMPENSATESFOR	K AA M P AH N S EY T S F AO R
UNSHEATHING	AH N SH IY DH IH NG
BLUETURRETS	B L UW T ER AH T S
DESERVEA	D AH S AH R V IY AH
UNPITCHED	AH N P IH CH T
SKIESAILES	S K IY S EY AH L Z
RIVED	R AY V D
HAWSERS	HH AO Z ER Z
FULLA	F UH L AH
LIBIDINOUS	L AH B IH D AH N AH S
TAWDRINESS	T AO D R IY N AH S
UNSTOPPERED	AH N S T AA P ER D
FRIENDI	F R IY N D IY
PRAYERSON	P R EY ER S AH N
DOWNINTO	D OW N IH N T OW
ŒIL	IH L
SCRIPTORIUM	S K R IH P T AO R IY AH M
ARAK	AE R AH K
PIMIENTO…	P AH M IY N T OW
NEXTAND	N EH K S T AH N D
PENIAL	P EH N IY AH L
BEBLACK	B IH B L AE K
SCREAMIT	S K R IY M AH T
SHUTTLINGTHROUGH	SH AH T AH L IH NG TH R AH F
ORDERETH	AO R D ER IH TH
BOAST'ST	B OW S T S T
TRAV'LLER	T R AE V L AH R
GROWTHE	G R OW DH
THESEWITH	DH AH Z Y UW IY TH
ARAPAIMA	AE R AH P EY M AH
POORTAKES	P UH R T EY K S
TWILIT	T W IH L AH T
LOÍZA	L OW Z AH
TESSELLATIONS	T EH S AH L EY T IY AH N Z
FÒR	EH F R
TASTS	T AE S T S
DISTRAUGHTTO	D IH S T R AO T OW
SYLPHIC	S IH L F AH K
AHABIT	AH HH AE B AH T
ENOUGHWITHOUT	IH N AH F W IH TH AW T
NUDIE	N UW D IY
TINFOIL	T IH N F OY L
FROGAT	F R AA G AH T
ASPHALTUS	AE S AE L T AH S
VELIVOLO	V AH L IH V AH L OW
CHÉNIER	K N AY AH R
AIRSLAPPED	AH IH R S L AE P T
ENKINDLING	EH N K AY N D L IH NG
SUMMERWARD	S AH M ER W ER D
WOAH	W OW AH
PILOTSCALL	P AY L AH T S K AO L
STREETWAY	S T R IY T W EY
OVERUNTIL	AA V AH R AH N T AH L
DOTACROSS	D AA T AH K R AO S
POWR	P OW R
WEEN	W IY AH N
PLACEY	P L EY S IY
FOLDEROLS	F OW L D AH R AH L Z
OVERBRIMMING	OW V ER B R IH M IH NG
SEEK'ST	S IY K S T
TH'ANCIENTS	TH AE N S IY N T S
OMNIFORMIS	AA M N AH F AO R M AH S
CITIZENESS	S IH T AH Z AH N AH S
EXPECTIN	IH K S P EH K T IH N
BOASTOF	B OW S T AH F
CEITHRE	S IY TH R
PIXELATED	P IH K S AH L EY T AH D
ERWORN	AH R W AH R N
ESQUIMAUX	EH S W AH M AH K S
VOYEURS	V OY IY Y AH R Z
LIGHTLYLIKE	L AY T L IY L AY K
LOVEY	L AH V IY
STORMCLOUD	S T AO R M K L AW D
DERUSTING	D IY R AH S T IH NG
LIVED/	L IH V D
IIIYET	IY IY AY AH T
ERMINES	AH R M AY N Z
ROUZ	R AW Z
BESIDETHEMSELVES	B IH S AY D IH TH IH M S EH L V Z
WAGGLE	W AE G AH L
LANGUAGELOVES	L AE NG G W IH JH L AH V Z
TIMEA	T IH M IY AH
BEFITTINGLY	B IH F IH T IH NG L IY
INVALIDES	IH N V AH L AY D Z
PYX	P IH K S
DIADIE	D AY EY D IY
SOWNE	S OW N
FAGGED	F AE G D
WINDOWAT	W IH N D OW AH T
BEHOLDERS	B IH HH OW L D ER Z
GLENURQUHART	G L AH N AH R K W HH AH R T
ORIGINLESS	AO R AH JH AH N L AH S
SUBDUCTING	S AH B D AH K T IH NG
NF	EH N F
TROUBLEAND	T R AW B L IY N D
HISENJAMBMENTS	HH IH S AH N JH AE M B M AH N T S
WYDOW	W IH D OW
UNPRIMED	AH N P R AY M D
COUPERIN	K UW P EY ER IH N
'CONCEIVETH	K AA N S IY AH V AH TH
BAZILLION	B AH Z IH L IY AH N
BEHOOFE	B AH HH UW F
SURVIV	S AH R V AH V
QUEENSB'RY	K W IY N S B R IY
FOOTWAS	F UW T W AH Z
LUPINETHE	L UW P AH N AH DH
KNOCKLES	N AA K AH L Z
WHITEBLUEROSE	W AY T B L UW R OW Z
OBDURACY	AA B D Y UH R AH S IY
MUY	M Y UW IY
ITHE	AY DH
SUPPOS	S AH P AH Z
FAIRMOUNT	F EH R M AW N T
SNAGGLETOOTHED	S N AE G L AH T UW DH D
SARASWATIS	S AE R AH S W EY T AH S
SEALIS	S IY L IY Z
UNEXAMPL	AH N AH G Z AE M P L
UNCONSTRICTED	AH N K AH N S T R IH K T IH D
GEYN	JH EY N
WEEDEATER	W IY D IY T ER
SPEECHBEYOND	S P IY CH B EY AH N D
THINKSAY	TH IH NG K S EY
MOTHERFUCK	M AH DH ER F AH K
METAPHYSICALBEYOND	M AH T AE F AH S AH K AE L B EY AH N D
TAXIDRIVERS	T AE K S IY D R AY V ER Z
28TH	T UW EY T IY EY CH
RHODODENDRONS	R OW D AH D EH N D R AH N Z
THER	TH EH R
BUNGLE	B AH NG G AH L
LAIAN	L EY IY AH N
MAGICKS	M AE JH AH K S
EOLXH	IY OW L K S
MATRILINEAGE	M AE T R AH L AY N IY AH JH
REDEREGULATED	R IY D IY R EH G Y AH L EY T IH D
DEMEURA	D IH M Y UH R AH
DAFFODILCOULD	D AE F AA D AH L K OW L D
ENIMIES	AH N AH M Y S
OFFERTHEY	AA F AH R TH IY
REAPPEARSOUTSIDE	R IY AH P IH ER Z AW T S AY D
GAP'T	G AE P T
THEMPOLITELY	TH EH M P AH L AY T L IY
DOWNPAST	D AW N P AE S T
ILS	IH L Z
PERPETUELLE	P AH R P EH T Y UW AH L
HATEFULL	HH EY T F UH L
BORR	B AO R
TETRAHEDRONS	T EH T R AH HH EH D R AH N Z
ALLUVION	AE L UW V IY AH N
CURTAINED	K ER T AH N D
THEMIN	TH EH M AH N
UNRIVAL	AH N R AY V AH L
'M	AH M
RENEWEST	R IY N UW AH S T
JUNEREDUCED	JH UW N EH R AH D Y UW S T
KURSEN	K AH R Z AH N
BLAK	B L AE K
LOKI	L OW K IY
SPEECHLIKE	S P IY CH L AY K
SENCE	S EH N S
SEACOASTS	S IY K OW S T S
KODWA	K AA D W AH
BOLDLIER	B OW L D L IY ER
GIPSY	JH IH P S IY
ORISON	OW R IY Z AO N
FIRSTGRIEVOUS	F ER S T G R IY V AH S
WOODRUN	W UH D R AH N
PROFUSIONOF	P R OW F Y AH S IY AH N AH F
GRINCAIT	G R IH NG K EY T
CLAUGHT	K L AO T
UNRUST	AH N R AH S T
REDACTTHE	R AH D AE K T DH
DREAMINGOF	D R IY M IH N G AH F
MOILS	M OW AH L Z
REMEMBERMAMA	R AH M EH M B AH R M AH M AH
PARTYAT	P AA R T AY AH T
BENEDICTIONS	B EH N AH D IH K SH AH N Z
WIGGLED	W IH G AH L D
STATIONHOUSE	S T EY SH AH N HH AW S
AREFRAGRANT	AH R IY F R EY G R AH N T
TOUGHLY	T AH F L IY
SADDLEMYER	S AE D L EH M AY AH R
ENGRAFTED	EH N G R AE F T IH D
RINSES	R IH N S IH Z
PUKED	P Y UW K T
POOLTHE	P UW L DH
SISTERED	S IH S T ER D
HIDELESS	HH AY D L AH S
DOGTOOTH	D AO G T UW TH
CYSLY	S IH Z L IY
FRIGIDITY	F R IH JH AH D AH T IY
SANDFUL	S AE N D F AH L
DRYOPE	D R AY OW P
ANOCHE	AE N AH CH
EQUIPHIS	EH K W AH F AH S
MURMURAGAINST	M AH R M Y UH R AH G EY N S T
COAGULANTS	K OW AE G Y AH L AH N T S
AURUNCULEIA	AO R AH NG K Y UW L IY AH
BREATHEST	B R IY DH AH S T
INFERNOS	IH N F ER N OW Z
WORMSIDE	W ER M S AY D
THANKE	TH AE NG K
SEMIPRIVATE	S EH M IY P R AY V AH T
COLUMNSWITH	K AA L AH M Z W IH TH
SEPTENNIAL	S EH P T EH N IY AH L
UNCAPABLE	AH N K EY P AH B AH L
ARCTICS	AA R K T IH K S
WAYES	W EY Z
TAILLEVIATHAN	T EY L AH V IY AH TH AH N
AJAW	AH JH AO
PINKETY	P IH NG K AH T IY
LAUGHIN/	L AE F IH N
ATCHIEVEMENT	AH CH IY V M AH N T
MITHRAS	M IH TH R AH Z
ELBOWS/	EH L B OW Z
TOOTHIN	T UW TH IH N
RC	AA R K
LAVENTIE	L AH V EH N T AY
SOMEONELONG	S OW M IY AA N AH L AH NG
MESSALINA	M EH S AE L AH N AH
CLARIFYINGLY	K L AE R AH F AY IH NG L IY
HOONDERD	HH UW N D AH R D
ENDWILL	EH N D W IH L
DAMAGEFINDS	D AE M IH JH F AY N D Z
CALPE	K AE L P
FAIRSEEMING	F EH R S IY M IH NG
ULD	AH L D
SERAIPORK	S AH R EY P AH R K
MAAAAAADE	M AA AH AH D
STARTEDTO	S T AA R T EH D T OW
CHORDED	K AO R D IH D
APPEER	AE P IH R
STRETCHETH	S T R EH CH IH TH
JAMBS	JH AE M Z
GORSE	G AO R S
WAVINGHER	W AA V AH N AH R
THEYGAVE	TH EY G EY V
PISTILS	P IH S T AH L Z
PALAMIDI	P AH L AE M AH D IY
ENIMIE	IH N AH M AY
GRAVELESS	G R EY V L AH S
WINDSPEAKS	W IH N D S P IY K S
BRECCIAS	B R EH K S IY AH Z
NUTHATCH	N AH T HH AE CH
SWALLOWLE	S W AA L OW L
AORIST	AH OW R IH S T
SCORCHTHE	S K AO R CH DH
ITSORBIT	IH T S AO R B AH T
MOONSKINNED	M UW N S K IH N D
POSSOUN	P AA S AW N
ENORMITYOF	AH N AO R M IH T AY AH F
TIMATELY	T AY M AH T L IY
VOWES	V OW Z
